Statistic Label,Age Group,Sex,Highest Level of Education Completed,CensusYear,UNIT,VALUE
Population Aged 15 Years and Over 2011 to 2016,15 - 19 years,Both sexes,Third level non-degree,2016,Number,509
Population Aged 15 Years and Over 2011 to 2016,20 - 24 years,Both sexes,Third level non-degree,2016,Number,8267
Population Aged 15 Years and Over 2011 to 2016,25 - 29 years,Both sexes,Third level non-degree,2016,Number,17034
Population Aged 15 Years and Over 2011 to 2016,30 - 34 years,Both sexes,Third level non-degree,2016,Number,25943
Population Aged 15 Years and Over 2011 to 2016,35 - 39 years,Both sexes,Third level non-degree,2016,Number,27729
Population Aged 15 Years and Over 2011 to 2016,40 - 44 years,Both sexes,Third level non-degree,2016,Number,24220
Population Aged 15 Years and Over 2011 to 2016,45 - 49 years,Both sexes,Third level non-degree,2016,Number,21004
Population Aged 15 Years and Over 2011 to 2016,50 - 54 years,Both sexes,Third level non-degree,2016,Number,18649
Population Aged 15 Years and Over 2011 to 2016,55 - 59 years,Both sexes,Third level non-degree,2016,Number,13668
Population Aged 15 Years and Over 2011 to 2016,60 - 64 years,Both sexes,Third level non-degree,2016,Number,9626
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Third level non-degree,2016,Number,6909
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Third level non-degree,2016,Number,4052
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Third level non-degree,2016,Number,2319
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Third level non-degree,2016,Number,1415
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Third level non-degree,2016,Number,974
Population Aged 15 Years and Over 2011 to 2016,15 - 19 years,Both sexes,Doctorate (Ph.D.),2016,Number,0
Population Aged 15 Years and Over 2011 to 2016,20 - 24 years,Both sexes,Doctorate (Ph.D.),2016,Number,61
Population Aged 15 Years and Over 2011 to 2016,25 - 29 years,Both sexes,Doctorate (Ph.D.),2016,Number,1588
Population Aged 15 Years and Over 2011 to 2016,30 - 34 years,Both sexes,Doctorate (Ph.D.),2016,Number,3845
Population Aged 15 Years and Over 2011 to 2016,35 - 39 years,Both sexes,Doctorate (Ph.D.),2016,Number,4574
Population Aged 15 Years and Over 2011 to 2016,40 - 44 years,Both sexes,Doctorate (Ph.D.),2016,Number,4108
Population Aged 15 Years and Over 2011 to 2016,45 - 49 years,Both sexes,Doctorate (Ph.D.),2016,Number,3770
Population Aged 15 Years and Over 2011 to 2016,50 - 54 years,Both sexes,Doctorate (Ph.D.),2016,Number,2848
Population Aged 15 Years and Over 2011 to 2016,55 - 59 years,Both sexes,Doctorate (Ph.D.),2016,Number,2244
Population Aged 15 Years and Over 2011 to 2016,60 - 64 years,Both sexes,Doctorate (Ph.D.),2016,Number,1724
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Doctorate (Ph.D.),2016,Number,1399
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Doctorate (Ph.D.),2016,Number,1210
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Doctorate (Ph.D.),2016,Number,708
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Doctorate (Ph.D.),2016,Number,405
Population Aged 15 Years and Over 2011 to 2016,65+,Both sexes,Doctorate (Ph.D.),2016,Number,275
Population Aged 15 Years and Over 2011 to 2016,15 - 19 years,Both sexes,Primary/None/Other,2016,Number,8432
Population Aged 15 Years and Over 2011 to 2016,20 - 24 years,Both sexes,Primary/None/Other,2016,Number,26343
Population Aged 15 Years and Over 2011 to 2016,25 - 29 years,Both sexes,Primary/None/Other,2016,Number,33211
Population Aged 15 Years and Over 2011 to 2016,30 - 34 years,Both sexes,Primary/None/Other,2016,Number,40090
Population Aged 15 Years and Over 2011 to 2016,35 - 39 years,Both sexes,Primary/None/Other,2016,Number,36801
Population Aged 15 Years and Over 2011 to 2016,40 - 44 years,Both sexes,Primary/None/Other,2016,Number,26517
Population Aged 15 Years and Over 2011 to 2016,45 - 49 years,Both sexes,Primary/None/Other,2016,Number,18811
Population Aged 15 Years and Over 2011 to 2016,50 - 54 years,Both sexes,Primary/None/Other,2016,Number,13475
